Data_Split;FL;Non-IID;y_Dist;Epochs;Batches;Participant;ROC_AUC_Train;ROC_AUC_Test;ROC_AUC_OOS;LOGLOSS_Train;LOGLOSS_Test;LOGLOSS_OOS;PRAUC_Train;PRAUC_Test;PRAUC_OOS;BRIER_Train;BRIER_Test;BRIER_OOS;Model;Model_Type;TTG_ROCAUC;TTG_LOGLOSS;TTG_PRAUC;TTG_BRIER
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;1024;1;0,727880492;0,718397625;0,727399626;0,248867698;0,257159054;0,249997967;0,199864695;0,199303771;0,195006757;0,06715407;0,069301443;0,067466715;Model 1;NonFed;0,009482867;-0,008291356;0,000560924;-0,002147373
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;1024;2;0,615151598;0,618668101;0,625707891;0,293456747;0,289162737;0,290030869;0,123485401;0,128033866;0,126632418;0,077283363;0,07572888;0,07594738;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;1024;3;0,492600449;0,500818423;0,494855059;0,361014076;0,359435635;0,350248122;0,081917137;0,082999789;0,077501161;0,077158957;0,076694279;0,075015564;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;512;1;0,750013737;0,737220553;0,745196158;0,242939503;0,251915747;0,245243352;0,221979205;0,215908627;0,212755892;0,066193838;0,068521243;0,066720671;Model 1;NonFed;0,012793184;-0,008976244;0,006070578;-0,002327405
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;512;2;0,688775914;0,688619061;0,691418853;0,262836305;0,257841142;0,260553325;0,171112161;0,180090148;0,165275236;0,070238396;0,068546904;0,069270311;Model 2;NonFed;0,000156853;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;512;3;0,624762246;0,631696464;0,627023333;0,285085102;0,285028432;0,281364965;0,143087734;0,146952333;0,125633797;0,075289168;0,074878232;0,073831192;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;256;1;0,765841272;0,748549688;0,754837935;0,242326792;0,252006729;0,246130625;0,239372068;0,226232816;0,221369082;0,0662751;0,068918863;0,067226836;Model 1;NonFed;0,017291584;-0,009679937;0,013139253;-0,002643763
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;256;2;0,737934953;0,730796295;0,728181526;0,250129779;0,247011822;0,25099667;0,208909846;0,211694654;0,191676371;0,068035435;0,066608723;0,067747882;Model 2;NonFed;0,007138658;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;256;3;0,696585276;0,695074854;0,688098761;0,261936878;0,262883116;0,260479348;0,187322562;0,186095936;0,159226518;0,07043141;0,070212654;0,069401433;Model 3;NonFed;0,001510422;-0,000946238;0,001226627;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;128;1;0,774391253;0,753382622;0,759016396;0,2392004;0,250024984;0,244278991;0,250785625;0,229512887;0,221692842;0,065519624;0,068482533;0,066935233;Model 1;NonFed;0,021008631;-0,010824585;0,021272737;-0,002962909
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;128;2;0,763811073;0,75173128;0,741806608;0,242787457;0,242796623;0,248179597;0,237587689;0,223074835;0,200709552;0,06670965;0,066016303;0,067520005;Model 2;NonFed;0,012079793;-9,16596E-06;0,014512854;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;128;3;0,751334531;0,734187982;0,723956036;0,247350566;0,252222588;0,251076836;0,242848713;0,214275301;0,184733256;0,067701799;0,068417405;0,067896114;Model 3;NonFed;0,017146549;-0,004872023;0,028573412;-0,000715606
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;64;1;0,779004069;0,757468854;0,762841428;0,238305768;0,248938481;0,243058912;0,253819728;0,233789673;0,230464442;0,065320843;0,068214256;0,066578732;Model 1;NonFed;0,021535215;-0,010632713;0,020030055;-0,002893412
